,排名,歌名,网址
0,1,世间美好与你环环相扣,http://music.163.com/song?id=1363948882
1,2,你的答案,http://music.163.com/song?id=1400256289
2,3,没有理由,http://music.163.com/song?id=550138197
3,4,没有理由,http://music.163.com/song?id=1404906595
4,5,爱你不是两三天,http://music.163.com/song?id=1404884182
5,6,嚣张,http://music.163.com/song?id=1382596189
6,7,Dance Monkey,http://music.163.com/song?id=1364343491
7,8,这一生关于你的风景,http://music.163.com/song?id=1383927243
8,9,大田後生仔,http://music.163.com/song?id=1396973729
9,10,悬溺,http://music.163.com/song?id=1397345903
10,11,野狼disco,http://music.163.com/song?id=1357785909
11,12,山楂树之恋,http://music.163.com/song?id=1381755293
12,13,像鱼,http://music.163.com/song?id=1331819951
13,14,失眠飞行,http://music.163.com/song?id=1365898499
14,15,嗜好,http://music.163.com/song?id=1391891631
15,16,孤身,http://music.163.com/song?id=1365393542
16,17,你走以后1.0,http://music.163.com/song?id=1363205817
17,18,芒种,http://music.163.com/song?id=1369798757
18,19,红色高跟鞋,http://music.163.com/song?id=208902
19,20,多想在平庸的生活拥抱你,http://music.163.com/song?id=1346104327
20,21,这一生关于你的风景,http://music.163.com/song?id=1356350562
21,22,左手指月,http://music.163.com/song?id=536096151
22,23,这就是爱情,http://music.163.com/song?id=516323185
23,24,起风了,http://music.163.com/song?id=1330348068
24,25,我的姑娘 她在远方,http://music.163.com/song?id=1405319676
25,26,晚安,http://music.163.com/song?id=1359356908
26,27,水星记,http://music.163.com/song?id=441491828
27,28,出山,http://music.163.com/song?id=1313354324
28,29,像我这样的人,http://music.163.com/song?id=569213220
29,30,画 (Live Piano Session II),http://music.163.com/song?id=412911436
30,31,雅俗共赏,http://music.163.com/song?id=411214279
31,32,太阳,http://music.163.com/song?id=1385856956
32,33,感谢你曾来过,http://music.163.com/song?id=460578140
33,34,我曾,http://music.163.com/song?id=1336856777
34,35,你是人间四月天,http://music.163.com/song?id=1344897943
35,36,圈住你,http://music.163.com/song?id=1388357890
36,37,你就不要想起我,http://music.163.com/song?id=28018075
37,38,年少有为,http://music.163.com/song?id=1293886117
38,39,烟火里的尘埃,http://music.163.com/song?id=29004400
39,40,那女孩对我说（女生正式版）,http://music.163.com/song?id=1396568325
40,41,哈尼宝贝,http://music.163.com/song?id=452601948
41,42,心似烟火,http://music.163.com/song?id=1399112638
42,43,盗将行,http://music.163.com/song?id=574566207
43,44,Señorita,http://music.163.com/song?id=1373168742
44,45,归去来兮,http://music.163.com/song?id=1357999894
45,46,那女孩对我说 (完整版),http://music.163.com/song?id=1372796676
46,47,生而为人,http://music.163.com/song?id=1335350269
47,48,啊默契,http://music.163.com/song?id=1405327607
48,49,Blueming,http://music.163.com/song?id=1404511131
49,50,不得不爱,http://music.163.com/song?id=1384527426
50,51,再也没有,http://music.163.com/song?id=480580003
51,52,心如止水,http://music.163.com/song?id=1349292048
52,53,Monsters,http://music.163.com/song?id=28481189
53,54,Lemon,http://music.163.com/song?id=536622304
54,55,太多,http://music.163.com/song?id=1343756008
55,56,我的名字,http://music.163.com/song?id=554241732
56,57,遇见,http://music.163.com/song?id=287035
57,58,云烟成雨,http://music.163.com/song?id=513360721
58,59,静悄悄,http://music.163.com/song?id=553815178
59,60,最近 (正式版),http://music.163.com/song?id=1357825630
60,61,说谎,http://music.163.com/song?id=108390
61,62,bad guy,http://music.163.com/song?id=1355147933
62,63,Lover (Remix),http://music.163.com/song?id=1403250178
63,64,无名之辈,http://music.163.com/song?id=1376142151
64,65,那个女孩,http://music.163.com/song?id=1300994613
65,66,Something Just Like This,http://music.163.com/song?id=461347998
66,67,离岸,http://music.163.com/song?id=1377078201
67,68,大田後生仔,http://music.163.com/song?id=1396602869
68,69,迷人的危险,http://music.163.com/song?id=1383876635
69,70,All Falls Down,http://music.163.com/song?id=515453363
70,71,有幸,http://music.163.com/song?id=1382423403
71,72,Illusionary Daytime,http://music.163.com/song?id=28907016
72,73,来自天堂的魔鬼,http://music.163.com/song?id=36270426
73,74,喜欢,http://music.163.com/song?id=526464145
74,75,祝你爱我到天荒地老,http://music.163.com/song?id=1369601580
75,76,我好像在哪见过你,http://music.163.com/song?id=417859631
76,77,Lover (First Dance Remix),http://music.163.com/song?id=1406003612
77,78,理想三旬,http://music.163.com/song?id=31445772
78,79,大田後生仔,http://music.163.com/song?id=1383403530
79,80,空心 ,http://music.163.com/song?id=435288399
80,81,心安理得,http://music.163.com/song?id=474739467
81,82,偏爱,http://music.163.com/song?id=86369
82,83,Sweet but Psycho,http://music.163.com/song?id=1300528275
83,84,拾忆,http://music.163.com/song?id=1396073496
84,85,空,http://music.163.com/song?id=1372060183
85,86,与火星的孩子对话,http://music.163.com/song?id=1399533630
86,87,Love poem,http://music.163.com/song?id=1400436688
87,88,烟雨行舟,http://music.163.com/song?id=1301884692
88,89,有一种悲伤,http://music.163.com/song?id=1315718569
89,90,如果的事,http://music.163.com/song?id=1363078221
90,91,白羊,http://music.163.com/song?id=514761281
91,92,起风了,http://music.163.com/song?id=1338695683
92,93,后来,http://music.163.com/song?id=254574
93,94,可惜没如果,http://music.163.com/song?id=29814898
94,95,还有我,http://music.163.com/song?id=1381794809
95,96,别叫我达芬奇,http://music.163.com/song?id=1362247767
96,97,光年之外,http://music.163.com/song?id=449818741
97,98,父亲写的散文诗,http://music.163.com/song?id=417250673
98,99,关山酒,http://music.163.com/song?id=1387592437
99,100,消愁,http://music.163.com/song?id=569200213
100,101,光,http://music.163.com/song?id=30431364
101,102,See You Again,http://music.163.com/song?id=30953009
102,103,愛にできることはまだあるかい,http://music.163.com/song?id=1378491298
103,104,国王与乞丐,http://music.163.com/song?id=32835565
104,105,Move Up (Lost Gravity),http://music.163.com/song?id=406072775
105,106,初恋,http://music.163.com/song?id=1398283841
106,107,Shots (Broiler Remix),http://music.163.com/song?id=31789010
107,108,追光者,http://music.163.com/song?id=483671599
108,109,形容,http://music.163.com/song?id=1336856864
109,110,Nevada (feat. Cozi Zuehlsdorff),http://music.163.com/song?id=418602088
110,111,I Love You 3000 II,http://music.163.com/song?id=1396162013
111,112,飘向北方 (Live),http://music.163.com/song?id=1308818967
112,113,Wolves,http://music.163.com/song?id=515269424
113,114,说散就散,http://music.163.com/song?id=523251118
114,115,暗恋是一个人的事,http://music.163.com/song?id=1380075991
115,116,不染,http://music.163.com/song?id=536099160
116,117,广寒宫,http://music.163.com/song?id=1362125019
117,118,Counting Stars,http://music.163.com/song?id=26060065
118,119,富士山下,http://music.163.com/song?id=65766
119,120,我的一个道姑朋友,http://music.163.com/song?id=1367452194
120,121,Five Hundred Miles,http://music.163.com/song?id=27759600
121,122,There For You,http://music.163.com/song?id=480426313
122,123,Shape of You,http://music.163.com/song?id=451703096
123,124,LOSER,http://music.163.com/song?id=512359195
124,125,Move Your Body (Alan Walker Remix),http://music.163.com/song?id=436487129
125,126,往后余生,http://music.163.com/song?id=571338279
126,127,慢慢喜欢你,http://music.163.com/song?id=541687281
127,128,红昭愿,http://music.163.com/song?id=452986458
128,129,往后余生,http://music.163.com/song?id=557584888
129,130,过客,http://music.163.com/song?id=445665094
130,131,下坠Falling,http://music.163.com/song?id=1328146041
131,132,平凡之路,http://music.163.com/song?id=28815250
132,133,Wonderful U (Demo Version),http://music.163.com/song?id=406475394
133,134,That Girl,http://music.163.com/song?id=440208476
134,135,Send It ,http://music.163.com/song?id=426291544
135,136,我要的,http://music.163.com/song?id=1383011509
136,137,The truth that you leave,http://music.163.com/song?id=139774
137,138,这一生关于你的风景（女生版）,http://music.163.com/song?id=1375941658
138,139,可能否,http://music.163.com/song?id=569214126
139,140,侧脸,http://music.163.com/song?id=534542079
140,141,I don't wanna see u anymore,http://music.163.com/song?id=528326686
141,142,修炼爱情,http://music.163.com/song?id=25727803
142,143,写给黄淮,http://music.163.com/song?id=1334295185
143,144,不再联系,http://music.163.com/song?id=175072
144,145,Closer,http://music.163.com/song?id=423228325
145,146,Faded,http://music.163.com/song?id=36990266
146,147,可不可以,http://music.163.com/song?id=553755659
147,148,情深深雨濛濛,http://music.163.com/song?id=1367368790
148,149,海阔天空,http://music.163.com/song?id=347230
149,150,没钥匙的锁,http://music.163.com/song?id=1405135261
150,151,坠落星空,http://music.163.com/song?id=1351520305
151,152,余香,http://music.163.com/song?id=487885426
152,153,连名带姓,http://music.163.com/song?id=1401267982
153,154,告白の夜,http://music.163.com/song?id=534540206
154,155,把孤独当做晚餐,http://music.163.com/song?id=1379456709
155,156,那就晚安,http://music.163.com/song?id=1373225817
156,157,成都,http://music.163.com/song?id=436514312
157,158,Sold Out,http://music.163.com/song?id=31010566
158,159,不在,http://music.163.com/song?id=541511427
159,160,后继者,http://music.163.com/song?id=442314990
160,161,那些你很冒险的梦,http://music.163.com/song?id=108138
161,162,杨花落尽子规啼,http://music.163.com/song?id=1375935067
162,163,你，好不好？,http://music.163.com/song?id=424264505
163,164,有可能的夜晚,http://music.163.com/song?id=1344814341
164,165,其实都没有,http://music.163.com/song?id=25788001
165,166,时迁,http://music.163.com/song?id=1384971398
166,167,Hall of Fame,http://music.163.com/song?id=19542337
167,168,牵丝戏,http://music.163.com/song?id=30352891
168,169,小半,http://music.163.com/song?id=421423806
169,170,黄昏,http://music.163.com/song?id=190072
170,171,爱江山更爱美人,http://music.163.com/song?id=1358554236
171,172,还是分开,http://music.163.com/song?id=465921195
172,173,琵琶行,http://music.163.com/song?id=476513774
173,174,봄 사랑 벚꽃 말고,http://music.163.com/song?id=28391219
174,175,孤单心事,http://music.163.com/song?id=1361988914
175,176,East of Eden,http://music.163.com/song?id=29009655
176,177,想你想你想我,http://music.163.com/song?id=1296833312
177,178,阿司匹林,http://music.163.com/song?id=1396141677
178,179,We Don't Talk Anymore,http://music.163.com/song?id=401249910
179,180,春风十里,http://music.163.com/song?id=38576323
180,181,Ma direction,http://music.163.com/song?id=27959259
181,182,椿,http://music.163.com/song?id=479598964
182,183,你也没有错,http://music.163.com/song?id=1376166020
183,184,这城市风总是很大,http://music.163.com/song?id=1378945187
184,185,GQ,http://music.163.com/song?id=410654865
185,186,I Am You,http://music.163.com/song?id=2919622
186,187,意外,http://music.163.com/song?id=27890306
187,188,好几年,http://music.163.com/song?id=571545156
188,189,Friendships (Original Mix),http://music.163.com/song?id=505449407
189,190,Reality,http://music.163.com/song?id=32835377
190,191,谁 (Live版),http://music.163.com/song?id=566436427
191,192,Dancin (Krono Remix),http://music.163.com/song?id=439121233
192,193,十一种孤独,http://music.163.com/song?id=546722350
193,194,他不懂,http://music.163.com/song?id=28059417
194,195,你能感受到我的心吗,http://music.163.com/song?id=1398283848
195,196,偏爱,http://music.163.com/song?id=1397674264
196,197,"10,000 Hours (Piano)",http://music.163.com/song?id=1405724760
197,198,西伯利亚,http://music.163.com/song?id=1405142459
198,199,我可以,http://music.163.com/song?id=1401482684
199,200,第三人称,http://music.163.com/song?id=502043537
